unit_name,date_day,hours_text,week_start_date,scraped_at
SJSU Library Hours,Jul 30  Sunday,1pm – 6pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Jul 31  Monday,8am – 8pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 01  Tuesday,8am – 8pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 02  Wednesday,8am – 8pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 03  Thursday,8am – 8pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 04  Friday,8am – 6pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 05  Saturday,8am – 6pm,2023-07-30,2026-04-29T02:23:21
SJSU Library Hours,Aug 06  Sunday,1pm – 6pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 07  Monday,8am – 8pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 08  Tuesday,8am – 8pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 09  Wednesday,8am – 8pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 10  Thursday,8am – 8pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 11  Friday,8am – 6pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 12  Saturday,8am – 6pm,2023-08-06,2026-04-29T02:23:22
SJSU Library Hours,Aug 13  Sunday,1pm – 6pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 14  Monday,8am – 8pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 15  Tuesday,8am – 8pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 16  Wednesday,8am – 8pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 17  Thursday,8am – 8pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 18  Friday,8am – 6pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 19  Saturday,8am – 6pm,2023-08-13,2026-04-29T02:23:22
SJSU Library Hours,Aug 20  Sunday,1pm – 6pm,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 21  Monday,8am – 12am,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 22  Tuesday,8am – 12am,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 23  Wednesday,8am – 12am,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 24  Thursday,8am – 12am,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 25  Friday,8am – 6pm,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 26  Saturday,8am – 6pm,2023-08-20,2026-04-29T02:23:23
SJSU Library Hours,Aug 27  Sunday,1pm – 12am,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Aug 28  Monday,8am – 12am,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Aug 29  Tuesday,8am – 12am,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Aug 30  Wednesday,8am – 12am,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Aug 31  Thursday,8am – 12am,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Sep 01  Friday,8am – 6pm,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Sep 02  Saturday,8am – 6pm,2023-08-27,2026-04-29T02:23:24
SJSU Library Hours,Sep 03  Sunday,1pm – 12am,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 04  Monday,Closed  Labor Day,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 05  Tuesday,8am – 12am,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 06  Wednesday,8am – 12am,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 07  Thursday,8am – 12am,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 08  Friday,8am – 6pm,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 09  Saturday,8am – 6pm,2023-09-03,2026-04-29T02:23:25
SJSU Library Hours,Sep 10  Sunday,1pm – 12am,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 11  Monday,8am – 12am,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 12  Tuesday,8am – 12am,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 13  Wednesday,8am – 12am,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 14  Thursday,8am – 12am,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 15  Friday,8am – 6pm,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 16  Saturday,8am – 6pm,2023-09-10,2026-04-29T02:23:25
SJSU Library Hours,Sep 17  Sunday,1pm – 12am,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 18  Monday,8am – 12am,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 19  Tuesday,8am – 12am,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 20  Wednesday,8am – 12am,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 21  Thursday,8am – 12am,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 22  Friday,8am – 6pm,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 23  Saturday,8am – 6pm,2023-09-17,2026-04-29T02:23:26
SJSU Library Hours,Sep 24  Sunday,1pm – 12am,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 25  Monday,8am – 12am,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 26  Tuesday,8am – 12am,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 27  Wednesday,8am – 12am,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 28  Thursday,8am – 12am,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 29  Friday,8am – 6pm,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Sep 30  Saturday,8am – 6pm,2023-09-24,2026-04-29T02:23:27
SJSU Library Hours,Oct 01  Sunday,1pm – 12am,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 02  Monday,8am – 12am,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 03  Tuesday,8am – 12am,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 04  Wednesday,8am – 12am,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 05  Thursday,8am – 12am,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 06  Friday,8am – 6pm,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 07  Saturday,8am – 6pm,2023-10-01,2026-04-29T02:23:28
SJSU Library Hours,Oct 08  Sunday,1pm – 12am,2023-10-08,2026-04-29T02:23:28
SJSU Library Hours,Oct 09  Monday,8am – 12am,2023-10-08,2026-04-29T02:23:28
SJSU Library Hours,Oct 10  Tuesday,8am – 12am,2023-10-08,2026-04-29T02:23:28
SJSU Library Hours,Oct 11  Wednesday,8am – 12am,2023-10-08,2026-04-29T02:23:28
SJSU Library Hours,Oct 12  Thursday,8am – 12am,2023-10-08,2026-04-29T02:23:28
