time_key,time_value,hour_24,hour_12,minute,am_pm,time_label,part_of_day,is_morning,is_afternoon,is_evening,is_late_night
0,00:00:00,0,12,0,AM,12:00 AM,Late Night,False,False,False,True
1,00:01:00,0,12,1,AM,12:01 AM,Late Night,False,False,False,True
2,00:02:00,0,12,2,AM,12:02 AM,Late Night,False,False,False,True
3,00:03:00,0,12,3,AM,12:03 AM,Late Night,False,False,False,True
4,00:04:00,0,12,4,AM,12:04 AM,Late Night,False,False,False,True
5,00:05:00,0,12,5,AM,12:05 AM,Late Night,False,False,False,True
6,00:06:00,0,12,6,AM,12:06 AM,Late Night,False,False,False,True
7,00:07:00,0,12,7,AM,12:07 AM,Late Night,False,False,False,True
8,00:08:00,0,12,8,AM,12:08 AM,Late Night,False,False,False,True
9,00:09:00,0,12,9,AM,12:09 AM,Late Night,False,False,False,True
10,00:10:00,0,12,10,AM,12:10 AM,Late Night,False,False,False,True
11,00:11:00,0,12,11,AM,12:11 AM,Late Night,False,False,False,True
12,00:12:00,0,12,12,AM,12:12 AM,Late Night,False,False,False,True
13,00:13:00,0,12,13,AM,12:13 AM,Late Night,False,False,False,True
14,00:14:00,0,12,14,AM,12:14 AM,Late Night,False,False,False,True
15,00:15:00,0,12,15,AM,12:15 AM,Late Night,False,False,False,True
16,00:16:00,0,12,16,AM,12:16 AM,Late Night,False,False,False,True
17,00:17:00,0,12,17,AM,12:17 AM,Late Night,False,False,False,True
18,00:18:00,0,12,18,AM,12:18 AM,Late Night,False,False,False,True
19,00:19:00,0,12,19,AM,12:19 AM,Late Night,False,False,False,True
20,00:20:00,0,12,20,AM,12:20 AM,Late Night,False,False,False,True
21,00:21:00,0,12,21,AM,12:21 AM,Late Night,False,False,False,True
22,00:22:00,0,12,22,AM,12:22 AM,Late Night,False,False,False,True
23,00:23:00,0,12,23,AM,12:23 AM,Late Night,False,False,False,True
24,00:24:00,0,12,24,AM,12:24 AM,Late Night,False,False,False,True
25,00:25:00,0,12,25,AM,12:25 AM,Late Night,False,False,False,True
26,00:26:00,0,12,26,AM,12:26 AM,Late Night,False,False,False,True
27,00:27:00,0,12,27,AM,12:27 AM,Late Night,False,False,False,True
28,00:28:00,0,12,28,AM,12:28 AM,Late Night,False,False,False,True
29,00:29:00,0,12,29,AM,12:29 AM,Late Night,False,False,False,True
30,00:30:00,0,12,30,AM,12:30 AM,Late Night,False,False,False,True
31,00:31:00,0,12,31,AM,12:31 AM,Late Night,False,False,False,True
32,00:32:00,0,12,32,AM,12:32 AM,Late Night,False,False,False,True
33,00:33:00,0,12,33,AM,12:33 AM,Late Night,False,False,False,True
34,00:34:00,0,12,34,AM,12:34 AM,Late Night,False,False,False,True
35,00:35:00,0,12,35,AM,12:35 AM,Late Night,False,False,False,True
36,00:36:00,0,12,36,AM,12:36 AM,Late Night,False,False,False,True
37,00:37:00,0,12,37,AM,12:37 AM,Late Night,False,False,False,True
38,00:38:00,0,12,38,AM,12:38 AM,Late Night,False,False,False,True
39,00:39:00,0,12,39,AM,12:39 AM,Late Night,False,False,False,True
40,00:40:00,0,12,40,AM,12:40 AM,Late Night,False,False,False,True
41,00:41:00,0,12,41,AM,12:41 AM,Late Night,False,False,False,True
42,00:42:00,0,12,42,AM,12:42 AM,Late Night,False,False,False,True
43,00:43:00,0,12,43,AM,12:43 AM,Late Night,False,False,False,True
44,00:44:00,0,12,44,AM,12:44 AM,Late Night,False,False,False,True
45,00:45:00,0,12,45,AM,12:45 AM,Late Night,False,False,False,True
46,00:46:00,0,12,46,AM,12:46 AM,Late Night,False,False,False,True
47,00:47:00,0,12,47,AM,12:47 AM,Late Night,False,False,False,True
48,00:48:00,0,12,48,AM,12:48 AM,Late Night,False,False,False,True
49,00:49:00,0,12,49,AM,12:49 AM,Late Night,False,False,False,True
50,00:50:00,0,12,50,AM,12:50 AM,Late Night,False,False,False,True
51,00:51:00,0,12,51,AM,12:51 AM,Late Night,False,False,False,True
52,00:52:00,0,12,52,AM,12:52 AM,Late Night,False,False,False,True
53,00:53:00,0,12,53,AM,12:53 AM,Late Night,False,False,False,True
54,00:54:00,0,12,54,AM,12:54 AM,Late Night,False,False,False,True
55,00:55:00,0,12,55,AM,12:55 AM,Late Night,False,False,False,True
56,00:56:00,0,12,56,AM,12:56 AM,Late Night,False,False,False,True
57,00:57:00,0,12,57,AM,12:57 AM,Late Night,False,False,False,True
58,00:58:00,0,12,58,AM,12:58 AM,Late Night,False,False,False,True
59,00:59:00,0,12,59,AM,12:59 AM,Late Night,False,False,False,True
100,01:00:00,1,1,0,AM,1:00 AM,Late Night,False,False,False,True
101,01:01:00,1,1,1,AM,1:01 AM,Late Night,False,False,False,True
102,01:02:00,1,1,2,AM,1:02 AM,Late Night,False,False,False,True
103,01:03:00,1,1,3,AM,1:03 AM,Late Night,False,False,False,True
104,01:04:00,1,1,4,AM,1:04 AM,Late Night,False,False,False,True
105,01:05:00,1,1,5,AM,1:05 AM,Late Night,False,False,False,True
106,01:06:00,1,1,6,AM,1:06 AM,Late Night,False,False,False,True
107,01:07:00,1,1,7,AM,1:07 AM,Late Night,False,False,False,True
108,01:08:00,1,1,8,AM,1:08 AM,Late Night,False,False,False,True
109,01:09:00,1,1,9,AM,1:09 AM,Late Night,False,False,False,True
110,01:10:00,1,1,10,AM,1:10 AM,Late Night,False,False,False,True
111,01:11:00,1,1,11,AM,1:11 AM,Late Night,False,False,False,True
112,01:12:00,1,1,12,AM,1:12 AM,Late Night,False,False,False,True
113,01:13:00,1,1,13,AM,1:13 AM,Late Night,False,False,False,True
114,01:14:00,1,1,14,AM,1:14 AM,Late Night,False,False,False,True
115,01:15:00,1,1,15,AM,1:15 AM,Late Night,False,False,False,True
116,01:16:00,1,1,16,AM,1:16 AM,Late Night,False,False,False,True
117,01:17:00,1,1,17,AM,1:17 AM,Late Night,False,False,False,True
118,01:18:00,1,1,18,AM,1:18 AM,Late Night,False,False,False,True
119,01:19:00,1,1,19,AM,1:19 AM,Late Night,False,False,False,True
120,01:20:00,1,1,20,AM,1:20 AM,Late Night,False,False,False,True
121,01:21:00,1,1,21,AM,1:21 AM,Late Night,False,False,False,True
122,01:22:00,1,1,22,AM,1:22 AM,Late Night,False,False,False,True
123,01:23:00,1,1,23,AM,1:23 AM,Late Night,False,False,False,True
124,01:24:00,1,1,24,AM,1:24 AM,Late Night,False,False,False,True
125,01:25:00,1,1,25,AM,1:25 AM,Late Night,False,False,False,True
126,01:26:00,1,1,26,AM,1:26 AM,Late Night,False,False,False,True
127,01:27:00,1,1,27,AM,1:27 AM,Late Night,False,False,False,True
128,01:28:00,1,1,28,AM,1:28 AM,Late Night,False,False,False,True
129,01:29:00,1,1,29,AM,1:29 AM,Late Night,False,False,False,True
130,01:30:00,1,1,30,AM,1:30 AM,Late Night,False,False,False,True
131,01:31:00,1,1,31,AM,1:31 AM,Late Night,False,False,False,True
132,01:32:00,1,1,32,AM,1:32 AM,Late Night,False,False,False,True
133,01:33:00,1,1,33,AM,1:33 AM,Late Night,False,False,False,True
134,01:34:00,1,1,34,AM,1:34 AM,Late Night,False,False,False,True
135,01:35:00,1,1,35,AM,1:35 AM,Late Night,False,False,False,True
136,01:36:00,1,1,36,AM,1:36 AM,Late Night,False,False,False,True
137,01:37:00,1,1,37,AM,1:37 AM,Late Night,False,False,False,True
138,01:38:00,1,1,38,AM,1:38 AM,Late Night,False,False,False,True
139,01:39:00,1,1,39,AM,1:39 AM,Late Night,False,False,False,True
140,01:40:00,1,1,40,AM,1:40 AM,Late Night,False,False,False,True
141,01:41:00,1,1,41,AM,1:41 AM,Late Night,False,False,False,True
142,01:42:00,1,1,42,AM,1:42 AM,Late Night,False,False,False,True
143,01:43:00,1,1,43,AM,1:43 AM,Late Night,False,False,False,True
144,01:44:00,1,1,44,AM,1:44 AM,Late Night,False,False,False,True
145,01:45:00,1,1,45,AM,1:45 AM,Late Night,False,False,False,True
146,01:46:00,1,1,46,AM,1:46 AM,Late Night,False,False,False,True
147,01:47:00,1,1,47,AM,1:47 AM,Late Night,False,False,False,True
148,01:48:00,1,1,48,AM,1:48 AM,Late Night,False,False,False,True
149,01:49:00,1,1,49,AM,1:49 AM,Late Night,False,False,False,True
150,01:50:00,1,1,50,AM,1:50 AM,Late Night,False,False,False,True
151,01:51:00,1,1,51,AM,1:51 AM,Late Night,False,False,False,True
152,01:52:00,1,1,52,AM,1:52 AM,Late Night,False,False,False,True
153,01:53:00,1,1,53,AM,1:53 AM,Late Night,False,False,False,True
154,01:54:00,1,1,54,AM,1:54 AM,Late Night,False,False,False,True
155,01:55:00,1,1,55,AM,1:55 AM,Late Night,False,False,False,True
156,01:56:00,1,1,56,AM,1:56 AM,Late Night,False,False,False,True
157,01:57:00,1,1,57,AM,1:57 AM,Late Night,False,False,False,True
158,01:58:00,1,1,58,AM,1:58 AM,Late Night,False,False,False,True
159,01:59:00,1,1,59,AM,1:59 AM,Late Night,False,False,False,True
200,02:00:00,2,2,0,AM,2:00 AM,Late Night,False,False,False,True
201,02:01:00,2,2,1,AM,2:01 AM,Late Night,False,False,False,True
202,02:02:00,2,2,2,AM,2:02 AM,Late Night,False,False,False,True
203,02:03:00,2,2,3,AM,2:03 AM,Late Night,False,False,False,True
204,02:04:00,2,2,4,AM,2:04 AM,Late Night,False,False,False,True
205,02:05:00,2,2,5,AM,2:05 AM,Late Night,False,False,False,True
206,02:06:00,2,2,6,AM,2:06 AM,Late Night,False,False,False,True
207,02:07:00,2,2,7,AM,2:07 AM,Late Night,False,False,False,True
208,02:08:00,2,2,8,AM,2:08 AM,Late Night,False,False,False,True
209,02:09:00,2,2,9,AM,2:09 AM,Late Night,False,False,False,True
210,02:10:00,2,2,10,AM,2:10 AM,Late Night,False,False,False,True
211,02:11:00,2,2,11,AM,2:11 AM,Late Night,False,False,False,True
212,02:12:00,2,2,12,AM,2:12 AM,Late Night,False,False,False,True
213,02:13:00,2,2,13,AM,2:13 AM,Late Night,False,False,False,True
214,02:14:00,2,2,14,AM,2:14 AM,Late Night,False,False,False,True
215,02:15:00,2,2,15,AM,2:15 AM,Late Night,False,False,False,True
216,02:16:00,2,2,16,AM,2:16 AM,Late Night,False,False,False,True
217,02:17:00,2,2,17,AM,2:17 AM,Late Night,False,False,False,True
218,02:18:00,2,2,18,AM,2:18 AM,Late Night,False,False,False,True
219,02:19:00,2,2,19,AM,2:19 AM,Late Night,False,False,False,True
220,02:20:00,2,2,20,AM,2:20 AM,Late Night,False,False,False,True
221,02:21:00,2,2,21,AM,2:21 AM,Late Night,False,False,False,True
222,02:22:00,2,2,22,AM,2:22 AM,Late Night,False,False,False,True
223,02:23:00,2,2,23,AM,2:23 AM,Late Night,False,False,False,True
224,02:24:00,2,2,24,AM,2:24 AM,Late Night,False,False,False,True
225,02:25:00,2,2,25,AM,2:25 AM,Late Night,False,False,False,True
226,02:26:00,2,2,26,AM,2:26 AM,Late Night,False,False,False,True
227,02:27:00,2,2,27,AM,2:27 AM,Late Night,False,False,False,True
228,02:28:00,2,2,28,AM,2:28 AM,Late Night,False,False,False,True
229,02:29:00,2,2,29,AM,2:29 AM,Late Night,False,False,False,True
230,02:30:00,2,2,30,AM,2:30 AM,Late Night,False,False,False,True
231,02:31:00,2,2,31,AM,2:31 AM,Late Night,False,False,False,True
232,02:32:00,2,2,32,AM,2:32 AM,Late Night,False,False,False,True
233,02:33:00,2,2,33,AM,2:33 AM,Late Night,False,False,False,True
234,02:34:00,2,2,34,AM,2:34 AM,Late Night,False,False,False,True
235,02:35:00,2,2,35,AM,2:35 AM,Late Night,False,False,False,True
236,02:36:00,2,2,36,AM,2:36 AM,Late Night,False,False,False,True
237,02:37:00,2,2,37,AM,2:37 AM,Late Night,False,False,False,True
238,02:38:00,2,2,38,AM,2:38 AM,Late Night,False,False,False,True
239,02:39:00,2,2,39,AM,2:39 AM,Late Night,False,False,False,True
240,02:40:00,2,2,40,AM,2:40 AM,Late Night,False,False,False,True
241,02:41:00,2,2,41,AM,2:41 AM,Late Night,False,False,False,True
242,02:42:00,2,2,42,AM,2:42 AM,Late Night,False,False,False,True
243,02:43:00,2,2,43,AM,2:43 AM,Late Night,False,False,False,True
244,02:44:00,2,2,44,AM,2:44 AM,Late Night,False,False,False,True
245,02:45:00,2,2,45,AM,2:45 AM,Late Night,False,False,False,True
246,02:46:00,2,2,46,AM,2:46 AM,Late Night,False,False,False,True
247,02:47:00,2,2,47,AM,2:47 AM,Late Night,False,False,False,True
248,02:48:00,2,2,48,AM,2:48 AM,Late Night,False,False,False,True
249,02:49:00,2,2,49,AM,2:49 AM,Late Night,False,False,False,True
250,02:50:00,2,2,50,AM,2:50 AM,Late Night,False,False,False,True
251,02:51:00,2,2,51,AM,2:51 AM,Late Night,False,False,False,True
252,02:52:00,2,2,52,AM,2:52 AM,Late Night,False,False,False,True
253,02:53:00,2,2,53,AM,2:53 AM,Late Night,False,False,False,True
254,02:54:00,2,2,54,AM,2:54 AM,Late Night,False,False,False,True
255,02:55:00,2,2,55,AM,2:55 AM,Late Night,False,False,False,True
256,02:56:00,2,2,56,AM,2:56 AM,Late Night,False,False,False,True
257,02:57:00,2,2,57,AM,2:57 AM,Late Night,False,False,False,True
258,02:58:00,2,2,58,AM,2:58 AM,Late Night,False,False,False,True
259,02:59:00,2,2,59,AM,2:59 AM,Late Night,False,False,False,True
300,03:00:00,3,3,0,AM,3:00 AM,Late Night,False,False,False,True
301,03:01:00,3,3,1,AM,3:01 AM,Late Night,False,False,False,True
302,03:02:00,3,3,2,AM,3:02 AM,Late Night,False,False,False,True
303,03:03:00,3,3,3,AM,3:03 AM,Late Night,False,False,False,True
304,03:04:00,3,3,4,AM,3:04 AM,Late Night,False,False,False,True
305,03:05:00,3,3,5,AM,3:05 AM,Late Night,False,False,False,True
306,03:06:00,3,3,6,AM,3:06 AM,Late Night,False,False,False,True
307,03:07:00,3,3,7,AM,3:07 AM,Late Night,False,False,False,True
308,03:08:00,3,3,8,AM,3:08 AM,Late Night,False,False,False,True
309,03:09:00,3,3,9,AM,3:09 AM,Late Night,False,False,False,True
310,03:10:00,3,3,10,AM,3:10 AM,Late Night,False,False,False,True
311,03:11:00,3,3,11,AM,3:11 AM,Late Night,False,False,False,True
312,03:12:00,3,3,12,AM,3:12 AM,Late Night,False,False,False,True
313,03:13:00,3,3,13,AM,3:13 AM,Late Night,False,False,False,True
314,03:14:00,3,3,14,AM,3:14 AM,Late Night,False,False,False,True
315,03:15:00,3,3,15,AM,3:15 AM,Late Night,False,False,False,True
316,03:16:00,3,3,16,AM,3:16 AM,Late Night,False,False,False,True
317,03:17:00,3,3,17,AM,3:17 AM,Late Night,False,False,False,True
318,03:18:00,3,3,18,AM,3:18 AM,Late Night,False,False,False,True
319,03:19:00,3,3,19,AM,3:19 AM,Late Night,False,False,False,True
320,03:20:00,3,3,20,AM,3:20 AM,Late Night,False,False,False,True
321,03:21:00,3,3,21,AM,3:21 AM,Late Night,False,False,False,True
322,03:22:00,3,3,22,AM,3:22 AM,Late Night,False,False,False,True
323,03:23:00,3,3,23,AM,3:23 AM,Late Night,False,False,False,True
324,03:24:00,3,3,24,AM,3:24 AM,Late Night,False,False,False,True
325,03:25:00,3,3,25,AM,3:25 AM,Late Night,False,False,False,True
326,03:26:00,3,3,26,AM,3:26 AM,Late Night,False,False,False,True
327,03:27:00,3,3,27,AM,3:27 AM,Late Night,False,False,False,True
328,03:28:00,3,3,28,AM,3:28 AM,Late Night,False,False,False,True
329,03:29:00,3,3,29,AM,3:29 AM,Late Night,False,False,False,True
330,03:30:00,3,3,30,AM,3:30 AM,Late Night,False,False,False,True
331,03:31:00,3,3,31,AM,3:31 AM,Late Night,False,False,False,True
332,03:32:00,3,3,32,AM,3:32 AM,Late Night,False,False,False,True
333,03:33:00,3,3,33,AM,3:33 AM,Late Night,False,False,False,True
334,03:34:00,3,3,34,AM,3:34 AM,Late Night,False,False,False,True
335,03:35:00,3,3,35,AM,3:35 AM,Late Night,False,False,False,True
336,03:36:00,3,3,36,AM,3:36 AM,Late Night,False,False,False,True
