booking_key,date_key,start_time_key,end_time_key,room_key,booking_name,start_datetime,end_datetime,duration_minutes,duration_hours,booking_count
1,20230801,800,830,41,,2023-08-01 08:00:00,2023-08-01 08:30:00,30,0.5,1
2,20230801,800,1000,11,IEEE Mentor Session,2023-08-01 08:00:00,2023-08-01 10:00:00,120,2.0,1
3,20230801,800,1000,17,Yenny’s,2023-08-01 08:00:00,2023-08-01 10:00:00,120,2.0,1
4,20230801,800,1000,40,,2023-08-01 08:00:00,2023-08-01 10:00:00,120,2.0,1
5,20230801,830,900,41,,2023-08-01 08:30:00,2023-08-01 09:00:00,30,0.5,1
6,20230801,830,1000,12,AIESEC meeting,2023-08-01 08:30:00,2023-08-01 10:00:00,90,1.5,1
7,20230801,900,930,19,Nate,2023-08-01 09:00:00,2023-08-01 09:30:00,30,0.5,1
8,20230801,900,930,22,Elevate Tutoring,2023-08-01 09:00:00,2023-08-01 09:30:00,30,0.5,1
9,20230801,900,930,41,,2023-08-01 09:00:00,2023-08-01 09:30:00,30,0.5,1
10,20230801,900,1300,5,UPD,2023-08-01 09:00:00,2023-08-01 13:00:00,240,4.0,1
11,20230801,930,1000,41,,2023-08-01 09:30:00,2023-08-01 10:00:00,30,0.5,1
12,20230801,930,1100,34,Private Appointment,2023-08-01 09:30:00,2023-08-01 11:00:00,90,1.5,1
13,20230801,930,1130,29,N,2023-08-01 09:30:00,2023-08-01 11:30:00,120,2.0,1
14,20230801,1000,1030,19,Nate,2023-08-01 10:00:00,2023-08-01 10:30:00,30,0.5,1
15,20230801,1000,1030,22,Elevate Tutoring,2023-08-01 10:00:00,2023-08-01 10:30:00,30,0.5,1
16,20230801,1000,1030,32,nitsi,2023-08-01 10:00:00,2023-08-01 10:30:00,30,0.5,1
17,20230801,1000,1030,41,,2023-08-01 10:00:00,2023-08-01 10:30:00,30,0.5,1
18,20230801,1000,1200,11,IEEE Mentor Session,2023-08-01 10:00:00,2023-08-01 12:00:00,120,2.0,1
19,20230801,1000,1200,17,,2023-08-01 10:00:00,2023-08-01 12:00:00,120,2.0,1
20,20230801,1030,1100,31,Simran,2023-08-01 10:30:00,2023-08-01 11:00:00,30,0.5,1
